CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,68,123,80
2,Female,57,40,50
3,Male,24,26,12
4,Male,49,91,95
5,Male,65,100,57
6,Female,36,44,53
7,Male,23,66,13
8,Male,37,77,72
9,Male,44,134,3
10,Female,70,119,64
11,Male,60,53,84
12,Male,54,55,58
13,Male,65,135,4
14,Male,24,122,45
15,Female,22,79,66
16,Male,28,132,36
17,Female,32,93,23
18,Female,20,22,19
19,Female,22,111,40
20,Male,40,32,72
21,Female,70,110,16
22,Male,54,47,58
23,Female,26,19,18
24,Female,32,141,36
25,Female,20,88,24
26,Female,46,140,1
27,Female,23,19,1
28,Female,34,48,64
29,Female,43,38,62
30,Female,38,109,36
31,Male,25,85,75
32,Male,38,106,18
33,Female,28,139,16
34,Female,55,36,17
35,Female,25,29,24
36,Male,59,115,98
37,Female,41,29,68
38,Male,52,67,99
39,Male,31,116,79
40,Male,31,127,2
41,Male,27,46,95
42,Male,29,35,73
43,Female,55,97,10
44,Female,61,28,53
45,Female,63,29,89
46,Female,51,48,51
47,Female,58,97,69
48,Male,27,23,14
49,Female,34,91,66
50,Female,34,23,82
51,Male,20,50,93
52,Female,48,131,53
53,Male,68,17,84
54,Female,18,33,64
55,Male,29,37,72
56,Female,56,118,49
57,Female,21,149,90
58,Male,59,119,62
59,Male,30,60,37
60,Male,51,29,49
61,Male,59,65,68
62,Male,38,124,33
63,Male,39,22,22
64,Male,21,83,70
65,Male,35,77,33
66,Female,22,82,28
67,Female,36,20,88
68,Male,19,133,4
69,Female,29,71,66
70,Female,34,45,77
71,Female,27,20,49
72,Female,51,81,11
73,Male,23,145,35
74,Female,25,88,39
75,Male,68,128,10
76,Female,28,111,74
77,Female,29,94,72
78,Female,26,137,69
79,Male,19,47,23
80,Female,25,58,34
81,Male,28,27,32
82,Female,70,71,16
83,Male,53,110,68
84,Female,27,123,54
85,Male,38,134,28
86,Male,37,114,60
87,Female,65,125,78
88,Male,25,65,76
89,Female,53,35,60
90,Female,46,74,85
91,Female,59,35,80
92,Female,29,121,44
